formation info;type formation info;formation magist ere;Class Code;temps rencontre;capacit e r esolution pb;insertion pro;citoyen num erique;Cet enseignement fait partie des mission;Cet enseignement est utile aux apprentis;facilit e mise en oeuvre;objectifs faciles; a l aise avec les connaissances;enseignement code;d ecision enseignement;coll egues enseignent code;mat eriel pour enseigner;utilisation REL;forum;suivi formation en ligne;suivi MOOC;domaines MOOC;raison non inscription MOOC;ecriture prog;definition pens ee info;prog affichage;prog tri;d eplacement robot;usages num erique;mettre en ligne;niveau classe;ann ees exp;d epartement;genre;option info;bac;DATE_SAISIE;NUMERO
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Oui avant la rentr ee 2016; a la suite d une sollicitation institutionnelle;Non;Tout  a fait;Assez souvent;Assez souvent;Oui;Non;;Vous ne connaissez pas;Oui le plus long programme comportait moins de 50 lignes;Non;Non;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";"Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)";"CM1;CM2";31;49;une femme;Non;Baccalaur eat g en eral L (anciennement A);03/05/2017 07:46;22
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Syst ematiquement;Occasionnellement;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CE1;CE2";23;49;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);03/05/2017 15:28;23
Non;;;;;Plutot d accord;Pas d accord du tout;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot d accord;Pas encore mais j ai l intention de le faire; a la suite d une sollicitation institutionnelle;Non;Plutot oui;Assez souvent;Jamais;Non;;;;Oui le plus long programme comportait entre 50 et 500 lignes;Oui;;;;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CM1;CM2";10;44;une femme;Oui;Baccalaur eat g en eral S (anciennement C D ou E);03/05/2017 18:39;24
Oui durant ma formation initiale;formation en pr esentiel;Non il n en n existe pas dans mon d epartement;;;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Plutot d accord;Oui avant la rentr ee 2016;de vous-m eme;Non;Plutot non;Occasionnellement;Rarement;Oui;Non;;Vous ne connaissez pas;Oui le plus long programme comportait entre 50 et 500 lignes;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CM1;CM2";9;44;une femme;Oui;Baccalaur eat g en eral S (anciennement C D ou E);03/05/2017 20:34;25
Non;;;;;Tout  a fait d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Tout  a fait d accord;Oui avant la rentr ee 2016;de vous-m eme;Oui;Plutot oui;Occasionnellement;Occasionnellement;Oui;Oui;"Lettres langues sciences humaines et sociales;Enseignement";;Oui le plus long programme comportait plus de 500 lignes;Oui;Oui;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);;37;44;une femme;Non;Baccalaur eat g en eral L (anciennement A);03/05/2017 21:07;26
Oui en dehors de ma formation initiale;formation hybride;Oui;;;Plutot d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Oui depuis la rentr ee 2016;"de vous-m eme; a la suite d une sollicitation institutionnelle";Oui;Plutot non;Syst ematiquement;Occasionnellement;Oui;Oui;Enseignement;;Vous n avez fait que de la programmation en blocs;Oui;Non;Non;Non;"Participation  a des r eseaux sociaux;Regarder des vid eos";"Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)";"CE1;CE2";11;44;une femme;Non;Baccalaur eat g en eral L (anciennement A);04/05/2017 09:06;27
Non;;;;;Tout  a fait d accord;Plutot d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Tout  a fait d accord;Oui depuis la rentr ee 2016;de vous-m eme;Non;Plutot oui;Syst ematiquement;Jamais;Non;;;;Vous n avez fait que de la programmation en blocs;Oui;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;CM2;2;44;une femme;Non;Baccalaur eat g en eral ES (anciennement B);04/05/2017 13:20;28
Oui en dehors de ma formation initiale;"formation en ligne (hors MOOC);MOOC;formation en pr esentiel";Non il n en n existe pas dans mon d epartement;Non vous n en n avez pas entendu parler;;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Oui avant la rentr ee 2016;de vous-m eme;Non;Plutot non;Syst ematiquement;Rarement;Oui;Oui;"Enseignement;Informatique";;Oui le plus long programme comportait plus de 500 lignes;Oui;Oui;Oui;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);;13;53;un homme;Non;Baccalaur eat g en eral S (anciennement C D ou E);04/05/2017 16:51;30
Non;;;;;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Pas d accord du tout;Plutot d accord;Plutot pas d accord;Oui depuis la rentr ee 2016;de vous-m eme;Non;Pas du tout;Syst ematiquement;Rarement;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"Grande section;CE1;CP";12;53;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);04/05/2017 17:51;31
Non;;;;;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Assez souvent;Rarement;Non;;;;Oui le plus long programme comportait moins de 50 lignes;Non;Oui;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";"Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)";"CM1;Moyenne section;CP;CE2;CM2";10;53;un homme;Non;Baccalaur eat g en eral S (anciennement C D ou E);04/05/2017 17:54;32
