formation info;type formation info;formation magist ere;Class Code;temps rencontre;capacit e r esolution pb;insertion pro;citoyen num erique;Cet enseignement fait partie des mission;Cet enseignement est utile aux apprentis;facilit e mise en oeuvre;objectifs faciles; a l aise avec les connaissances;enseignement code;d ecision enseignement;coll egues enseignent code;mat eriel pour enseigner;utilisation REL;forum;suivi formation en ligne;suivi MOOC;domaines MOOC;raison non inscription MOOC;ecriture prog;definition pens ee info;prog affichage;prog tri;d eplacement robot;usages num erique;mettre en ligne;niveau classe;ann ees exp;d epartement;genre;option info;bac;DATE_SAISIE;NUMERO
Non;;;;;Plutot d accord;Plutot d accord;Plutot pas d accord;;;Pas d accord du tout;Plutot pas d accord;;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Jamais;Rarement;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;CM1;13;85;une femme;Non;Baccalaur eat g en eral ES (anciennement B);25/06/2017 10:06;318
Oui en dehors de ma formation initiale;MOOC;Non mais il en existe dans mon d epartement;Non mais vous en avez entendu parler;;Plutot d accord;Plutot pas d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot pas d accord;Plutot pas d accord;Plutot d accord;Pas encore mais j ai l intention de le faire;de vous-m eme;Non;Plutot non;Assez souvent;Occasionnellement;Oui;Oui;"Lettres langues sciences humaines et sociales;Enseignement;Sciences et technologies";;Oui le plus long programme comportait moins de 50 lignes;Oui;Oui;Oui;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);CM1;3;44;un homme;Non;Baccalaur eat g en eral ES (anciennement B);25/06/2017 10:20;319
Non;;;;;Plutot pas d accord;Plutot d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Pas encore mais j ai l intention de le faire;de vous-m eme;Non;Plutot non;Occasionnellement;Occasionnellement;Oui;Oui;"Sant e;Informatique";;Oui le plus long programme comportait entre 50 et 500 lignes;Oui;Oui;Oui;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";"Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)";"CM1;CP";7;86;une femme;Oui;Baccalaur eat g en eral S (anciennement C D ou E);21/06/2017 10:04;320
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Pas encore mais j ai l intention de le faire;;Non;Plutot oui;Assez souvent;Rarement;Oui;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);;10;49;un homme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 09:03;321
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot oui;Occasionnellement;Jamais;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CE1;Moyenne section;CM2";27;17;une femme;Non;Baccalaur eat g en eral L (anciennement A);26/06/2017 09:14;322
Oui en dehors de ma formation initiale;formation hybride;Non il n en n existe pas dans mon d epartement;;;Pas d accord du tout;Plutot pas d accord;Plutot pas d accord;Plutot d accord;Pas d accord du tout;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Oui depuis la rentr ee 2016;de vous-m eme;Non;Plutot non;Assez souvent;Jamais;Oui;Vous ne connaissez pas;;;Oui le plus long programme comportait moins de 50 lignes;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"Grande section;CM1;Moyenne section;CE2;CM2";7;86;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 11:37;324
Non;;;;;Pas d accord du tout;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Jamais;Jamais;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;"CE1;CM1;CP;CE2;CM2";6;53;une femme;Non;Baccalaur eat g en eral ES (anciennement B);26/06/2017 12:19;326
Oui en dehors de ma formation initiale;formation en pr esentiel;;;;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Rarement;Jamais;Oui;Vous ne connaissez pas;;;Oui le plus long programme comportait moins de 50 lignes;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CM1;CE2;CM2";12;53;un homme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 12:19;327
Oui en dehors de ma formation initiale;formation en pr esentiel;Non il n en n existe pas dans mon d epartement;;;Plutot d accord;Plutot d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Oui depuis la rentr ee 2016; a la suite d une sollicitation institutionnelle;Non;Plutot oui;Assez souvent;Jamais;Non;;;;Vous n avez fait que de la programmation en blocs;Non;Non;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CE1;CE2";17;53;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 12:39;328
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Pas d accord du tout;Oui depuis la rentr ee 2016;de vous-m eme;Non;Plutot oui;Occasionnellement;Jamais;Oui;Vous ne connaissez pas;;;Vous n avez fait que de la programmation en blocs;Non;Oui;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CM1;CE2";15;16;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 13:40;329
Non;;;;;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Syst ematiquement;Tr es souvent;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;;;Petite section;18;33;une femme;Non;Baccalaur eat g en eral L (anciennement A);26/06/2017 15:26;330
Non;;;;;Pas d accord du tout;Pas d accord du tout;Plutot pas d accord;Pas d accord du tout;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Syst ematiquement;Occasionnellement;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";"Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)";"Grande section;CP";12;33;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 15:24;331
Non;;;;;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Occasionnellement;Assez souvent;Non;;;;Non vous n avez jamais  ecrit de programme;Oui;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);;;;;;;26/06/2017 15:27;332
Non;;;;;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot oui;Assez souvent;Assez souvent;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;Petite section;21;33;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 15:39;334
Non;;;;;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Syst ematiquement;Assez souvent;Oui;Non;;Vous ne connaissez pas;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);CM1;3;33;une femme;Non;Baccalaur eat g en eral ES (anciennement B);26/06/2017 15:50;335
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Oui;Plutot non;Assez souvent;Assez souvent;Oui;Oui;"Lettres langues sciences humaines et sociales;Enseignement";;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);CM2;10;33;une femme;Non;Baccalaur eat g en eral L (anciennement A);26/06/2017 16:02;336
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Assez souvent;Occasionnellement;Oui;Vous ne connaissez pas;;;Vous n avez fait que de la programmation en blocs;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;"CM1;CM2";13;33;une femme;Oui;Baccalaur eat g en eral ES (anciennement B);26/06/2017 16:18;338
Non;;;;;Tout  a fait d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot oui;Assez souvent;Jamais;Oui;Non;;Vous ne connaissez pas;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);CM2;38;33;une femme;Non;Baccalaur eat g en eral L (anciennement A);26/06/2017 16:19;339
Oui durant ma formation initiale;formation en pr esentiel;Non il n en n existe pas dans mon d epartement;;;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Tout  a fait d accord;;Pas d accord du tout;Pas d accord du tout;Plutot pas d accord;Oui avant la rentr ee 2016; a la suite d une sollicitation institutionnelle;Non;Plutot oui;Assez souvent;Rarement;Oui;Non;;Ils ne correspondent pas  a votre mani ere d apprendre;Non vous n avez jamais  ecrit de programme;Oui;Non;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux";"Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)";"CM1;CM2";30;33;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 16:27;341
Non;;;;;Plutot d accord;Plutot d accord;Plutot pas d accord;Pas d accord du tout;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Jamais;Jamais;Oui;Non;;Vous ne connaissez pas;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"Petite section;Moyenne section";3;33;un homme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 16:46;342
Non;;;;;Plutot pas d accord;Plutot d accord;;Plutot d accord;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Rarement;Jamais;Oui;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;Achat en ligne;;"Petite section;Moyenne section";15;33;un homme;Non;Baccalaur eat g en eral ES (anciennement B);26/06/2017 16:45;343
Non;;;;;Tout  a fait d accord;;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Oui avant la rentr ee 2016; a la suite d une sollicitation institutionnelle;Non;Pas du tout;Occasionnellement;;Oui;Non;;Vous ne connaissez pas;Oui le plus long programme comportait moins de 50 lignes;;Oui;Non;Oui;Achat en ligne;;CE2;35;47;un homme;Non;Baccalaur eat g en eral ES (anciennement B);26/06/2017 17:01;344
Oui en dehors de ma formation initiale;formation en pr esentiel;Non mais il en existe dans mon d epartement;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot oui;Occasionnellement;Occasionnellement;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CE1;CM1;CP;CE2";38;33;une femme;Non;Baccalaur eat g en eral ES (anciennement B);26/06/2017 17:11;345
Non;;;;;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Oui;Tout  a fait;Occasionnellement;Rarement;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;CP;17;33;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 17:10;346
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Pas encore mais j ai l intention de le faire;" a la suite d une r eflexion collective; a la suite d une sollicitation institutionnelle";Non;Plutot non;Occasionnellement;Occasionnellement;Oui;Oui;"Lettres langues sciences humaines et sociales;Droit  economie sciences politiques;Enseignement";;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;"CM1;CM2";20;47;une femme;Non;Baccalaur eat g en eral L (anciennement A);26/06/2017 17:26;347
Non;;;;;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;;Plutot pas d accord;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Assez souvent;Occasionnellement;Oui;Non;;Vous ne connaissez pas;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;Moyenne section;24;33;une femme;Non;Baccalaur eat g en eral L (anciennement A);26/06/2017 17:33;348
Non;;;;;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas encore mais j ai l intention de le faire;de vous-m eme;Non;Plutot oui;Assez souvent;Jamais;Oui;Non;;Ils ne correspondent pas  a votre mani ere d apprendre;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.);"Petite section;Moyenne section";16;33;une femme;Non;Baccalaur eat g en eral ES (anciennement B);26/06/2017 17:41;349
"Oui durant ma formation initiale;Oui en dehors de ma formation initiale";;Non il n en n existe pas dans mon d epartement;;;Plutot d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Oui depuis la rentr ee 2016; a la suite d une sollicitation institutionnelle;Non;Tout  a fait;Assez souvent;Occasionnellement;Oui;Non;;Vous ne connaissez pas;Oui le plus long programme comportait plus de 500 lignes;Oui;Oui;Oui;Oui;"Achat en ligne;Regarder des vid eos";;"CM1;CE2";3;33;un homme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 17:39;350
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas encore mais j ai l intention de le faire; a la suite d une r eflexion collective;Oui;Plutot oui;Assez souvent;Occasionnellement;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;CP;14;33;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 17:45;351
Non;;;;;Plutot pas d accord;Pas d accord du tout;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Plutot pas d accord;Pas d accord du tout;Plutot pas d accord;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Oui;Pas du tout;Assez souvent;Occasionnellement;Oui;Non;;Ils ne correspondent pas  a votre mani ere d apprendre;Non vous n avez jamais  ecrit de programme;Oui;Oui;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;CE2;9;33;une femme;Non;Baccalaur eat g en eral L (anciennement A);26/06/2017 17:42;352
Non;;;;;Tout  a fait d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Tout  a fait d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Oui avant la rentr ee 2016;de vous-m eme;Non;Plutot oui;Syst ematiquement;Assez souvent;Oui;Non;;Ils ne correspondent pas  a votre mani ere d apprendre;Vous n avez fait que de la programmation en blocs;Non;Non;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;"Petite section;Grande section;Moyenne section";32;33;une femme;Non;Baccalaur eat g en eral ES (anciennement B);26/06/2017 17:51;353
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Pas encore mais j ai l intention de le faire;de vous-m eme;Non;Plutot oui;Syst ematiquement;Occasionnellement;Non;;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";"Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)";"CM1;CM2";33;33;un homme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 18:01;354
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Pas du tout;Assez souvent;Assez souvent;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);CP;17;33;une femme;Non;Baccalaur eat g en eral L (anciennement A);26/06/2017 18:08;355
Non;;;;;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Plutot pas d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Assez souvent;Rarement;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CE1;CE2";14;47;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 18:16;357
Non;;;;;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Oui depuis la rentr ee 2016; a la suite d une sollicitation institutionnelle;Non;Tout  a fait;;;Oui;Oui;Sciences et technologies;;Oui le plus long programme comportait moins de 50 lignes;Non;Oui;Oui;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Rien de tout cela;CM2;1;33;un homme;Non;Baccalaur eat g en eral ES (anciennement B);26/06/2017 18:19;358
Non;;;;;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot d accord;Tout  a fait d accord;Plutot d accord;Plutot d accord;Plutot d accord;Oui depuis la rentr ee 2016;de vous-m eme;Non;Tout  a fait;Assez souvent;Occasionnellement;Oui;Non;;Les sujets ne vous int eressent pas;Oui le plus long programme comportait plus de 500 lignes;Oui;Oui;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CM1;CM2";28;33;une femme;Oui;Baccalaur eat g en eral ES (anciennement B);26/06/2017 18:31;359
Non;;;;;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Syst ematiquement;Occasionnellement;Oui;Non;;Ils ne correspondent pas  a votre mani ere d apprendre;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CE1;CE2";19;33;une femme;Oui;Baccalaur eat g en eral L (anciennement A);26/06/2017 18:34;360
Oui en dehors de ma formation initiale;formation en pr esentiel;Non il n en n existe pas dans mon d epartement;;;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Oui depuis la rentr ee 2016; a la suite d une sollicitation institutionnelle;Oui;Plutot oui;Occasionnellement;Jamais;Oui;Non;;Ils ne correspondent pas  a votre mani ere d apprendre;Non vous n avez jamais  ecrit de programme;Non;Non;Non;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CM1;CE2";17;33;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 18:35;361
Non;;;;;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Oui depuis la rentr ee 2016;de vous-m eme;Non;Plutot oui;Assez souvent;Jamais;Non;;;;Vous n avez fait que de la programmation en blocs;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos";;"CM1;CM2";25;53;une femme;Non;Baccalaur eat g en eral L (anciennement A);26/06/2017 18:44;362
Non;;;;;Plutot d accord;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Pas encore mais j ai l intention de le faire; a la suite d une sollicitation institutionnelle;Oui;Plutot non;Syst ematiquement;Assez souvent;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Oui;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"CE1;CP;CE2";3;33;une femme;Non;Baccalaur eat g en eral ES (anciennement B);26/06/2017 18:52;363
Non;;;;;Plutot pas d accord;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Plutot d accord;Pas d accord du tout;Pas d accord du tout;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot oui;Occasionnellement;Rarement;Non;;;;Non vous n avez jamais  ecrit de programme;Non;;;;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";"Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)";CE1;18;33;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 18:48;364
Oui durant ma formation initiale;formation en pr esentiel;Non mais il en existe dans mon d epartement;;;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Tout  a fait d accord;Plutot pas d accord;Tout  a fait d accord;Tout  a fait d accord;Oui depuis la rentr ee 2016;de vous-m eme;Non;Plutot oui;Assez souvent;Rarement;Non;;;;Oui le plus long programme comportait entre 50 et 500 lignes;Oui;Oui;Oui;Oui;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);"Petite section;Grande section;Moyenne section;CP";1;53;une femme;Non;Baccalaur eat g en eral S (anciennement C D ou E);26/06/2017 19:26;365
Oui en dehors de ma formation initiale;;Non il n en n existe pas dans mon d epartement;;;Plutot pas d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Plutot pas d accord;Oui depuis la rentr ee 2016;de vous-m eme;Oui;Tout  a fait;Assez souvent;Rarement;Oui;Oui;Enseignement;;Vous n avez fait que de la programmation en blocs;Non;Non;Non;Non;"Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos";Mettre en ligne des contenus personnels (avis photos vid eos etc.);CM2;6;33;une femme;Non;Baccalaur eat g en eral ES (anciennement B);26/06/2017 19:30;366
Non;;;;;Pas d accord du tout;Plutot d accord;Plutot d accord;Plutot d accord;Plutot d accord;Plutot pas d accord;Plutot pas d accord;Pas d accord du tout;Non je ne vais pas mettre en œuvre cet enseignement cette ann ee;;Non;Plutot non;Jamais;Jamais;Oui;Vous ne connaissez pas;;;Non vous n avez jamais  ecrit de programme;Non;Oui;Non;Non;Regarder des vid eos;;Petite section;32;33;une femme;Non;Baccalaur eat g en eral L (anciennement A);26/06/2017 19:46;367
